name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zipcode,2020_Number_of_Units,2020_Occupied_Units,2020_Vacant_Units,2020_Median_Rooms,2020_Median_Value,2020_Median_Monthly Costs,2020_Median_Rent,2020_Owner_Occupied_Units,2015_Number_of_Units,2015_Occupied_Units,2015_Vacant_Units,2015_Median_Rooms,2015_Median_Value,2015_Median_Monthly Costs,2015_Median_Rent,2015_Owner_Occupied_Units,2020_Median_Household_Income,2020_Median_Family_Income,2015_Median_Household_Income,2015_Median_Family_Income
Charming 1BR Clintonville Apt,7785489,Nancy,,Near North/University,40.01796,-83.00267,Entire home/apt,85,4,86,2022-05-15,0.79,3,309,3,2019-1275,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98743,-83.01669,Entire home/apt,180,60,36,2022-09-04,0.34,3,276,1,2019-1846,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Architect’s House on the Park,10907285,Tom,,Far North,40.07986,-83.01504,Entire home/apt,175,28,29,2020-10-15,0.79,1,160,0,,43085,"10,514","10,115",399,6.4,"274,300","1,794","1,150","7,236","10,504","10,211",293,6.4,"220,200","1,607","1,009","7,376","93,953","114,258","76,190","95,938"
Mid-Century Sweet Little Apartment,6466841,Linda,,Near North/University,39.9867,-83.01121,Entire home/apt,140,30,34,2021-11-27,0.32,3,312,7,2019-1847,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Close to OSU and Riverside Hospital (30day min),11043646,Curt,,West Olentangy,40.02356,-83.03218,Private room,30,28,50,2021-08-20,0.63,3,105,0,,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
German Village Getaway,11366166,Tina,,Near South,39.94098,-82.98737,Entire home/apt,250,4,3,2017-10-29,0.04,1,330,0,2019-1536,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Great apartment with extra rooms,6466841,Linda,,Near North/University,39.98702,-83.01136,Entire home/apt,160,60,38,2022-07-24,0.38,3,6,1,2019-1848,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Eclectic Short North Escape w/FREE Parking,10776491,Catherine & Bryan,,Near North/University,39.98617,-83.00371,Entire home/apt,287,2,177,2022-09-04,1.69,4,198,36,2019-2361,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
LUXURY LIVING on a budget,16184897,Toya,,South Linden,40.0087,-82.97472,Entire home/apt,101,4,151,2022-08-15,1.5,5,176,4,2019-2084,43211,"10,296","8,714","1,582",5.2,"58,200",795,871,"3,464","10,527","8,079","2,448",5.3,"57,500",853,762,"3,022","28,610","32,010","23,710","25,253"
"Quaint, Sunny + Stylish Vic Village Apt",6915183,Lauryn & Matt,,Near North/University,39.9831,-83.01296,Entire home/apt,165,2,11,2017-07-28,0.12,1,263,0,,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Retreat in the City - River view room in our home,17572985,Leslie,,West Scioto,40.04729,-83.09825,Private room,149,1,55,2022-05-30,0.55,2,363,5,,43220,"13,160","12,475",685,5.4,"355,500","2,139","1,032","6,259","12,754","11,857",897,5.6,"257,600","1,720",864,"6,536","70,167","113,666","60,412","92,072"
Retreat in the city - Garden view room in our home,17572985,Leslie,,West Scioto,40.04754,-83.09845,Private room,129,1,34,2021-10-31,0.37,2,363,3,,43220,"13,160","12,475",685,5.4,"355,500","2,139","1,032","6,259","12,754","11,857",897,5.6,"257,600","1,720",864,"6,536","70,167","113,666","60,412","92,072"
Relaxation Near Easton - Gym & Theater Room!,18986310,Alissa,,Rocky Fork-Blacklick,40.09093,-82.88549,Private room,60,7,48,2022-07-30,0.54,1,331,4,2019-1826,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
The Manor-  3rd FL. Loft Apt. - Close to Downtown,19532241,Tawana,,Near East,39.9659,-82.97557,Entire home/apt,90,1,367,2022-09-05,5.57,1,51,75,2021-2912,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
"Serial Entrepreneur-Ship (""S.E.S"")",16184897,Toya,,South Linden,40.00899,-82.97534,Private room,55,1,65,2022-08-01,0.68,5,178,2,2019-2083,43211,"10,296","8,714","1,582",5.2,"58,200",795,871,"3,464","10,527","8,079","2,448",5.3,"57,500",853,762,"3,022","28,610","32,010","23,710","25,253"
Gas FP w/ Pristine Private Entry Studio @ Polaris,11288291,Teresa And Addison,,Far North,40.1522,-82.96164,Entire home/apt,99,1,201,2022-09-16,2.13,1,310,63,,43035,"9,508","9,094",414,7.6,"338,600","2,311","1,217","7,365","9,028","8,695",333,7.3,"264,500","2,037",951,"6,983","133,643","144,204","105,977","112,276"
King Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01257,-83.00159,Private room,83,1,61,2022-09-04,0.8,9,346,11,2019-1314,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
"Comfy I, 3 Bed, 1 Bath, Free Parking -RoweRentals",27439453,Ingrid & Mike,,Near North/University,39.98879,-83.00255,Entire home/apt,146,1,384,2022-09-08,4.33,12,334,91,2021-3068,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
No Booking Fees | CMH Airport | Easton,24503470,Erica,,Northeast,40.01048,-82.92681,Private room,68,2,149,2022-08-01,1.66,2,85,27,2019-3199,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Large Short North House,28695156,Miles,,Near North/University,39.98296,-82.99871,Entire home/apt,308,2,152,2022-07-02,1.66,3,351,13,2019-1841,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Extended Stay Short North Close to OSU!,119415,Douglas,,Near North/University,39.98992,-83.00427,Entire home/apt,104,28,158,2022-08-31,1.75,1,334,8,2019-1145,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Nice BD/ off street parking/Shabat,25144683,Yizhar Joe,,Eastmoor/Walnut Ridge,39.96927,-82.92156,Private room,95,2,8,2019-08-11,0.11,1,363,0,,43209,"12,965","11,990",975,5.8,"284,300","1,780",885,"6,785","12,594","11,566","1,028",5.7,"206,000","1,594",790,"6,527","69,290","102,500","53,134","88,976"
1 Bedroom Lower Level Apartment,31349526,Bill,,Near East,39.9661,-82.96512,Entire home/apt,99,1,137,2019-05-26,1.53,1,0,0,2019-1524,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
"Your  Home in Columbus ,Ohio 43230",33321292,Figen,,Rocky Fork-Blacklick,40.06225,-82.85429,Private room,60,1,178,2022-09-12,2,2,360,22,2019-2706,43230,"25,484","24,546",938,5.8,"204,000","1,542","1,140","14,855","22,879","22,120",759,6.1,"169,200","1,497",985,"14,496","75,960","95,989","70,618","87,964"
Your home in Columbus 43230,33321292,Figen,,Rocky Fork-Blacklick,40.06193,-82.85436,Private room,69,1,139,2022-08-21,1.57,2,361,21,2019-2706,43230,"25,484","24,546",938,5.8,"204,000","1,542","1,140","14,855","22,879","22,120",759,6.1,"169,200","1,497",985,"14,496","75,960","95,989","70,618","87,964"
The Perfect Pad All To Yourself,66518998,Carli,,Near North/University,39.97388,-83.00451,Entire home/apt,199,1,223,2022-09-04,2.58,1,337,49,2021-1791,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
SERENITY in NW Columbus!,11363908,Brenda And Steven,,Hayden Run,40.06489,-83.11963,Entire home/apt,180,2,50,2022-07-30,0.57,1,264,10,,43221,"14,927","14,190",737,6.3,"306,300","2,055","1,244","10,010","13,903","13,150",753,6.6,"239,600","1,816","1,018","9,659","96,233","119,688","85,095","105,450"
Secluded 3rd floor bedroom near OSU & Short North!,24519205,Darrin,,Near North/University,39.992,-83.01084,Private room,62,1,176,2022-09-09,2.13,3,339,78,2019-1235,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Comfy II, 3 Bed, 1 Bath, Free Parking -RoweRentals",27439453,Ingrid & Mike,,Near North/University,39.98695,-83.00125,Entire home/apt,146,1,379,2022-09-05,4.34,12,340,53,2021-3069,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Charming, Historic Home Close to Downtown Columbus",39147286,David,,Near East,39.96281,-82.94999,Private room,70,1,30,2022-09-11,5.2,1,351,30,2021-3126,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Tulsa #3 Nicely Priced Bedroom,39662644,Paul,,Northland,40.06467,-82.98839,Private room,54,30,14,2022-03-14,0.16,9,275,1,,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
Tulsa #1 Shared House Master Bedroom,39662644,Paul,,Northland,40.06467,-82.98839,Private room,61,30,12,2022-03-31,0.14,9,326,1,,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
Tulsa #4 Nicely Priced Bedroom,39662644,Paul,,Northland,40.06466,-82.98839,Private room,54,30,15,2021-03-28,0.2,9,323,0,,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
1BR Apt. on Clintonville Ravine,7785489,Nancy,,Near North/University,40.01904,-83.00172,Entire home/apt,90,3,112,2022-09-09,1.33,3,297,18,2019-1273,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Beautiful condo in downtown,41706311,David,,Downtown,39.96581,-82.99891,Entire home/apt,107,30,27,2015-12-20,0.31,1,365,0,,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
"Tulsa #5 Bedroom, large",39662644,Paul,,Northland,40.0615,-82.98872,Private room,54,30,15,2022-01-03,0.28,9,292,1,,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
Tulsa #6 Nicely Priced Bedroom,39662644,Paul,,Northland,40.06467,-82.98839,Private room,54,30,18,2022-01-15,0.24,9,255,2,,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
Beautiful Olde Towne East Home close to Downtown,44880235,Regan,,Near East,39.96145,-82.97216,Private room,32,1,590,2022-09-16,6.95,2,299,119,2019-1829,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Classic Second-Floor Olde Town East-Full Apartment,1583338,Jay & Michael,,Near East,39.96661,-82.96441,Entire home/apt,82,2,163,2022-08-14,1.95,1,83,23,2019-2372,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Fabulous apartment inside beautiful home,35480169,Margaret,,Northwest,40.06366,-83.09885,Entire home/apt,79,2,66,2022-09-17,0.78,1,349,25,2019-2111,43220,"13,160","12,475",685,5.4,"355,500","2,139","1,032","6,259","12,754","11,857",897,5.6,"257,600","1,720",864,"6,536","70,167","113,666","60,412","92,072"
Big 3 Story House Downtown Columbus,28695156,Miles,,Near North/University,39.98382,-83.01635,Entire home/apt,314,2,154,2022-08-14,1.84,3,347,12,2018-1841,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Victorian Home in the Short North Neighborhood,1815644,Amanda,,Near North/University,39.98908,-83.00898,Entire home/apt,244,2,40,2022-09-18,0.56,1,85,8,2019-2063,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Peaceful home in the Dublin area,36990978,Bonnie,,Far Northwest,40.10672,-83.07529,Entire home/apt,200,2,182,2022-09-10,2.19,1,319,30,2019-1500,43235,"19,512","18,505","1,007",5.5,"256,900","1,800","1,178","10,358","18,929","17,941",988,5.3,"211,900","1,646",962,"9,405","77,951","106,974","66,141","85,202"
"""The Coop""  Near Easton Town Center Columbus, OH",7934201,Robin,,Northland,40.06079,-82.92073,Entire home/apt,98,1,337,2022-09-05,4.59,1,295,76,,43230,"25,484","24,546",938,5.8,"204,000","1,542","1,140","14,855","22,879","22,120",759,6.1,"169,200","1,497",985,"14,496","75,960","95,989","70,618","87,964"
Map Room - Olde Towne/Franklin Park-Historic Home,25656963,Josh,,Near East,39.96028,-82.95052,Private room,96,1,561,2022-09-10,6.82,2,263,105,2019-1868,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
No Booking Fees | Private Room | CMH Airport,24503470,Erica,,Northeast,40.00921,-82.92745,Private room,68,2,149,2022-09-15,1.85,2,85,27,2019-3199,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Peaceful Eco-Friendly Meditator's Home,37196796,Dianne,,North Linden,40.03632,-82.9885,Private room,55,1,29,2022-04-09,0.62,1,23,2,2019-3197,43224,"18,950","17,585","1,365",5.0,"103,200",983,827,"8,324","18,876","16,274","2,602",5.0,"86,500",993,678,"7,866","39,038","45,010","33,487","39,337"
"New Management and the best location, Short North",17923537,Tara,,Near North/University,39.97977,-83.00284,Entire home/apt,170,2,192,2021-12-20,2.39,1,254,10,2019-2268,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Top Floor Comfy condo ❤ of Short North,2994567,Mark,,Near North/University,39.97459,-83.00314,Entire home/apt,201,2,122,2022-09-06,1.49,5,107,16,2021-3430,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
East Columbus Suburbs with private bath,53450563,John,,Far East,40.00027,-82.78248,Private room,41,1,338,2022-09-20,4.18,1,339,92,2022-1435,43004,"9,919","9,675",244,6.2,"209,300","1,637",968,"7,619","9,314","9,074",240,5.9,"156,600","1,481",865,"6,488","84,363","98,576","66,633","84,675"
The Hangar- Crow's Nest in Short North near OSU,14397907,Bernard,,Near North/University,39.97977,-83.00458,Entire home/apt,145,1,52,2022-07-24,0.71,1,167,1,2019-1062,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Large 4BD/2B 1/2 Duplex near Downtown & OTE,54769683,Annie,,Near East,39.96911,-82.97719,Entire home/apt,94,2,6,2022-09-18,2.43,13,167,6,2022-1758,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
country guesthouse/Columbus OH,51343654,Susie,,Westland,39.93065,-83.17506,Entire home/apt,119,2,67,2022-09-18,0.84,3,340,18,,43119,"10,728","10,470",258,6.1,"166,800","1,366","1,063","7,790","10,416","9,943",473,6.0,"135,800","1,337",840,"7,004","73,299","87,527","61,410","66,916"
Powell Room(s) With full Gym!!!,55613143,Rose,,Far Northwest,40.14285,-83.06266,Private room,89,2,216,2022-08-07,2.71,1,29,1,,43065,"15,378","14,927",451,8.0,"348,100","2,283","1,140","13,597","14,738","14,113",625,8.0,"302,000","2,164","1,030","12,458","135,179","150,008","115,542","129,804"
Garden Manor Guest House Air BnB,57330981,Al,,Near East,39.96938,-82.97235,Entire home/apt,138,2,175,2022-09-10,2.18,1,135,49,2019-1796,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
2 private rooms (queen bed listing),57910238,Marisol,,Northland,40.09852,-82.96423,Private room,50,1,13,2019-03-03,0.16,1,0,0,,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
Ranch house in Historic Dublin with Garage parking,5139720,Mike,,Hayden Run,40.0953,-83.12019,Entire home/apt,155,30,161,2022-08-02,2.1,1,142,3,,43017,"16,228","15,377",851,7.1,"371,000","2,461","1,243","10,487","14,865","14,255",610,7.4,"310,000","2,187","1,111","10,315","111,250","133,848","98,023","112,518"
Charming Marble Cliff Area Townhome,61981933,Tammy,,West Scioto,39.98711,-83.06753,Private room,60,1,10,2021-09-19,0.13,2,297,0,2019-3410,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Single room Close to OSU (30 day min),11043646,Curt,,West Olentangy,40.02452,-83.03391,Private room,32,28,47,2022-08-03,0.61,3,110,2,,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Cozy luxury bedroom w/ private bathroom,63285107,Alberto,,Northwest,40.05428,-83.04824,Private room,38,30,308,2022-04-01,3.97,1,40,3,,43220,"13,160","12,475",685,5.4,"355,500","2,139","1,032","6,259","12,754","11,857",897,5.6,"257,600","1,720",864,"6,536","70,167","113,666","60,412","92,072"
Cozy home in Grandview minutes from OSU Campus!,58086298,Spenceton Estates,,West Olentangy,39.98776,-83.02979,Entire home/apt,97,2,16,2022-03-19,1.46,1,0,16,,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
"Urban I, 3 Bed, 1 Bath, Free Parking -RoweRentals",27439453,Ingrid & Mike,,Near North/University,39.98829,-83.0022,Entire home/apt,149,1,342,2022-09-14,4.56,12,317,70,2021-3067,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Private Bedroom and Bath in Dublin/Hilliard Ohio,3492360,Greg,,Hayden Run,40.0599,-83.11814,Private room,64,1,396,2022-09-10,5.17,1,301,67,2019-1935,43221,"14,927","14,190",737,6.3,"306,300","2,055","1,244","10,010","13,903","13,150",753,6.6,"239,600","1,816","1,018","9,659","96,233","119,688","85,095","105,450"
Heart of Olde Towne East Loft,68942337,Brad,,Near East,39.96356,-82.97595,Entire home/apt,271,1,274,2022-07-03,3.6,1,19,1,2019-1401,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Quaint 1920's Townhouse,69289743,Sarah,,Near South,39.92996,-82.99157,Entire home/apt,129,2,145,2022-09-04,1.91,3,347,20,2019-1590,43207,"20,799","18,656","2,143",5.4,"102,700","1,087",908,"11,435","20,172","17,185","2,987",5.3,"84,600","1,039",821,"9,933","50,582","62,298","38,842","45,006"
"1BR 1-person Clintonville Apt, (5-day min rental)",7785489,Nancy,,Near North/University,40.01888,-83.00052,Entire home/apt,60,5,32,2022-05-08,0.43,3,170,3,2019-1274,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Historic German Village Apartment,63926278,Brittany,,Near South,39.94861,-82.99635,Entire home/apt,249,2,64,2022-09-06,0.83,1,357,10,,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Perfect for couples get away or singles traveling,72181837,Greg,,Northland,40.10091,-82.97387,Private room,53,1,208,2022-09-18,3.35,1,351,82,2019-2348,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
"OSU #3, Great Place!",39662644,Paul,,Near North/University,40.00456,-82.99684,Private room,27,30,0,,,9,262,0,,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Eastwood Heights Lounge,33524881,Keith,,Near East,39.96864,-82.96408,Private room,40,5,92,2022-07-31,1.2,3,51,6,2019-1531,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Clintonville Home,32912159,John,,Clintonville,40.02797,-83.02092,Entire home/apt,78,1,530,2022-09-08,6.89,1,13,28,2019-2870,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
