"Label (Grouping)","ZCTA5 43002!!Total!!Estimate","ZCTA5 43002!!Median income (dollars)!!Estimate","ZCTA5 43004!!Total!!Estimate","ZCTA5 43004!!Median income (dollars)!!Estimate","ZCTA5 43016!!Total!!Estimate","ZCTA5 43016!!Median income (dollars)!!Estimate","ZCTA5 43017!!Total!!Estimate","ZCTA5 43017!!Median income (dollars)!!Estimate","ZCTA5 43026!!Total!!Estimate","ZCTA5 43026!!Median income (dollars)!!Estimate","ZCTA5 43031!!Total!!Estimate","ZCTA5 43031!!Median income (dollars)!!Estimate","ZCTA5 43035!!Total!!Estimate","ZCTA5 43035!!Median income (dollars)!!Estimate","ZCTA5 43054!!Total!!Estimate","ZCTA5 43054!!Median income (dollars)!!Estimate","ZCTA5 43062!!Total!!Estimate","ZCTA5 43062!!Median income (dollars)!!Estimate","ZCTA5 43064!!Total!!Estimate","ZCTA5 43064!!Median income (dollars)!!Estimate","ZCTA5 43065!!Total!!Estimate","ZCTA5 43065!!Median income (dollars)!!Estimate","ZCTA5 43068!!Total!!Estimate","ZCTA5 43068!!Median income (dollars)!!Estimate","ZCTA5 43081!!Total!!Estimate","ZCTA5 43081!!Median income (dollars)!!Estimate","ZCTA5 43085!!Total!!Estimate","ZCTA5 43085!!Median income (dollars)!!Estimate","ZCTA5 43109!!Total!!Estimate","ZCTA5 43109!!Median income (dollars)!!Estimate","ZCTA5 43110!!Total!!Estimate","ZCTA5 43110!!Median income (dollars)!!Estimate","ZCTA5 43119!!Total!!Estimate","ZCTA5 43119!!Median income (dollars)!!Estimate","ZCTA5 43123!!Total!!Estimate","ZCTA5 43123!!Median income (dollars)!!Estimate","ZCTA5 43125!!Total!!Estimate","ZCTA5 43125!!Median income (dollars)!!Estimate","ZCTA5 43126!!Total!!Estimate","ZCTA5 43126!!Median income (dollars)!!Estimate","ZCTA5 43137!!Total!!Estimate","ZCTA5 43137!!Median income (dollars)!!Estimate","ZCTA5 43140!!Total!!Estimate","ZCTA5 43140!!Median income (dollars)!!Estimate","ZCTA5 43146!!Total!!Estimate","ZCTA5 43146!!Median income (dollars)!!Estimate","ZCTA5 43147!!Total!!Estimate","ZCTA5 43147!!Median income (dollars)!!Estimate","ZCTA5 43201!!Total!!Estimate","ZCTA5 43201!!Median income (dollars)!!Estimate","ZCTA5 43202!!Total!!Estimate","ZCTA5 43202!!Median income (dollars)!!Estimate","ZCTA5 43203!!Total!!Estimate","ZCTA5 43203!!Median income (dollars)!!Estimate","ZCTA5 43204!!Total!!Estimate","ZCTA5 43204!!Median income (dollars)!!Estimate","ZCTA5 43205!!Total!!Estimate","ZCTA5 43205!!Median income (dollars)!!Estimate","ZCTA5 43206!!Total!!Estimate","ZCTA5 43206!!Median income (dollars)!!Estimate","ZCTA5 43207!!Total!!Estimate","ZCTA5 43207!!Median income (dollars)!!Estimate","ZCTA5 43209!!Total!!Estimate","ZCTA5 43209!!Median income (dollars)!!Estimate","ZCTA5 43210!!Total!!Estimate","ZCTA5 43210!!Median income (dollars)!!Estimate","ZCTA5 43211!!Total!!Estimate","ZCTA5 43211!!Median income (dollars)!!Estimate","ZCTA5 43212!!Total!!Estimate","ZCTA5 43212!!Median income (dollars)!!Estimate","ZCTA5 43213!!Total!!Estimate","ZCTA5 43213!!Median income (dollars)!!Estimate","ZCTA5 43214!!Total!!Estimate","ZCTA5 43214!!Median income (dollars)!!Estimate","ZCTA5 43215!!Total!!Estimate","ZCTA5 43215!!Median income (dollars)!!Estimate","ZCTA5 43217!!Total!!Estimate","ZCTA5 43217!!Median income (dollars)!!Estimate","ZCTA5 43219!!Total!!Estimate","ZCTA5 43219!!Median income (dollars)!!Estimate","ZCTA5 43220!!Total!!Estimate","ZCTA5 43220!!Median income (dollars)!!Estimate","ZCTA5 43221!!Total!!Estimate","ZCTA5 43221!!Median income (dollars)!!Estimate","ZCTA5 43222!!Total!!Estimate","ZCTA5 43222!!Median income (dollars)!!Estimate","ZCTA5 43223!!Total!!Estimate","ZCTA5 43223!!Median income (dollars)!!Estimate","ZCTA5 43224!!Total!!Estimate","ZCTA5 43224!!Median income (dollars)!!Estimate","ZCTA5 43227!!Total!!Estimate","ZCTA5 43227!!Median income (dollars)!!Estimate","ZCTA5 43228!!Total!!Estimate","ZCTA5 43228!!Median income (dollars)!!Estimate","ZCTA5 43229!!Total!!Estimate","ZCTA5 43229!!Median income (dollars)!!Estimate","ZCTA5 43230!!Total!!Estimate","ZCTA5 43230!!Median income (dollars)!!Estimate","ZCTA5 43231!!Total!!Estimate","ZCTA5 43231!!Median income (dollars)!!Estimate","ZCTA5 43232!!Total!!Estimate","ZCTA5 43232!!Median income (dollars)!!Estimate","ZCTA5 43235!!Total!!Estimate","ZCTA5 43235!!Median income (dollars)!!Estimate"
"Hispanic or Latino origin (of any race)","0.0%","-","2.4%","(X)","3.9%","63,043","2.8%","76,458","2.6%","(X)","1.6%","73,750","3.6%","89,952","0.9%","205,650","0.7%","(X)","0.7%","51,111","1.3%","(X)","4.7%","46,678","1.9%","40,259","3.5%","37,202","0.0%","-","3.1%","79,313","7.2%","37,106","1.1%","87,368","1.1%","(X)","0.0%","-","0.3%","-","1.0%","32,813","0.6%","-","1.9%","82,773","4.2%","28,810","2.0%","42,708","2.4%","33,250","4.3%","14,655","1.6%","(X)","1.3%","50,938","2.7%","49,522","1.9%","36,563","8.6%","(X)","2.1%","31,490","2.6%","26,190","8.0%","34,000","2.3%","48,229","2.2%","36,738","3.3%","-","3.7%","35,000","3.0%","39,688","2.5%","47,083","3.4%","(X)","3.2%","23,849","4.1%","30,947","5.6%","26,331","9.1%","26,886","6.4%","30,197","1.8%","75,000","2.4%","46,575","3.3%","24,688","3.5%","53,302"
"White alone, not Hispanic or Latino","87.8%","83,250","67.1%","74,258","72.1%","87,034","81.0%","103,091","87.2%","77,874","97.4%","71,175","80.5%","107,724","83.0%","108,902","94.4%","72,821","95.1%","75,357","88.6%","114,324","65.0%","59,385","81.7%","73,867","86.1%","78,902","100.0%","46,250","72.2%","69,689","81.9%","66,085","92.9%","63,601","83.5%","63,356","100.0%","39,375","99.7%","59,083","93.1%","59,089","96.0%","70,152","82.2%","88,125","71.9%","27,957","78.6%","53,477","21.1%","40,788","79.0%","42,181","30.0%","46,490","56.7%","59,896","67.5%","41,163","65.1%","70,631","27.6%","(X)","28.1%","30,362","88.9%","62,129","47.6%","37,973","90.7%","69,828","76.2%","62,741","76.9%","34,565","20.1%","37,238","84.5%","63,451","89.1%","88,971","75.7%","21,556","70.6%","36,109","51.6%","41,103","30.2%","40,669","73.7%","46,935","49.2%","43,727","79.5%","71,831","59.4%","51,204","38.5%","41,087","82.7%","67,647"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","2.6%","(X)","3.2%","(X)","3.4%","46,619","1.4%","32,038","3.2%","32,273","2.1%","(X)","1.2%","(X)","1.9%","47,130","1.5%","42,143","0.5%","(X)","0.7%","63,750","4.5%","31,823","2.9%","34,515","2.0%","(X)","0.0%","(X)","1.0%","54,583","2.7%","46,929","2.8%","35,119","5.1%","32,297","0.0%","(X)","5.2%","(X)","4.2%","38,145","1.8%","71,134","1.3%","44,297","39.8%","15,684","18.5%","16,515","8.5%","10,000","6.0%","21,515","7.0%","15,189","6.5%","42,647","2.3%","22,846","6.8%","22,025","14.7%","15,750","5.3%","15,250","11.3%","26,587","5.7%","21,133","5.1%","31,615","11.4%","30,833","7.6%","45,500","6.2%","23,577","7.2%","23,456","2.6%","26,750","4.4%","(X)","5.3%","21,020","4.9%","21,711","4.4%","16,526","7.5%","22,556","5.8%","22,301","3.6%","38,818","4.6%","27,743","7.2%","21,171","3.8%","37,969"
"    25 to 44 years","69.8%","(X)","51.3%","(X)","45.0%","85,729","38.4%","96,436","41.2%","82,591","35.2%","(X)","54.4%","(X)","48.8%","108,724","35.5%","81,762","36.0%","(X)","38.4%","122,045","40.2%","56,320","39.2%","75,103","39.1%","(X)","17.5%","(X)","48.5%","64,467","44.2%","65,014","33.1%","72,589","36.0%","67,531","37.1%","(X)","15.1%","(X)","28.1%","64,088","34.7%","74,766","36.7%","91,676","41.0%","42,469","51.6%","54,897","40.3%","24,604","36.5%","43,108","38.1%","33,522","43.4%","50,995","34.8%","45,582","33.1%","55,563","83.5%","16,458","36.8%","21,742","51.1%","57,699","39.2%","33,166","34.0%","75,706","54.0%","62,047","58.9%","33,000","40.7%","37,320","38.2%","52,870","40.1%","84,215","33.9%","(X)","39.0%","28,200","37.3%","35,066","33.4%","29,620","46.1%","42,707","41.9%","35,135","41.1%","72,247","41.3%","53,668","38.0%","37,334","44.6%","63,583"
"    45 to 64 years","22.0%","(X)","35.7%","(X)","38.9%","104,459","43.3%","115,577","40.6%","93,497","40.7%","(X)","34.9%","(X)","37.5%","137,955","43.5%","80,287","39.4%","(X)","44.8%","128,993","37.4%","70,308","39.6%","87,574","36.7%","(X)","67.5%","(X)","33.4%","82,188","40.9%","66,144","43.7%","70,730","38.0%","71,354","43.4%","(X)","55.4%","(X)","41.5%","71,250","41.3%","75,994","45.4%","102,167","15.6%","31,400","21.6%","57,500","36.1%","25,696","41.0%","41,742","39.8%","30,519","35.9%","41,008","40.8%","41,380","37.2%","74,201","1.8%","-","40.9%","27,259","25.4%","84,097","31.9%","43,083","37.4%","82,899","23.0%","45,547","30.9%","34,464","31.4%","36,970","32.9%","86,101","39.5%","102,571","37.9%","(X)","37.1%","38,317","42.3%","36,415","41.4%","44,146","31.5%","47,526","34.8%","52,038","37.9%","83,910","37.3%","51,714","40.2%","41,142","32.0%","87,730"
"    65 years and over","5.7%","(X)","9.8%","(X)","12.8%","55,495","16.9%","71,515","15.0%","40,609","21.9%","(X)","9.5%","(X)","11.8%","65,071","19.4%","49,865","24.1%","(X)","16.0%","68,056","18.0%","37,203","18.2%","44,136","22.2%","(X)","15.0%","(X)","17.2%","45,182","12.3%","43,995","20.4%","44,973","20.8%","34,744","19.5%","(X)","24.3%","(X)","26.1%","40,670","22.2%","51,211","16.5%","55,779","3.7%","19,792","8.4%","48,616","15.0%","18,173","16.5%","38,351","15.1%","31,810","14.2%","34,144","22.1%","29,240","22.9%","37,719","0.0%","-","17.0%","24,345","12.2%","48,889","23.2%","34,129","23.5%","41,238","11.6%","24,896","2.6%","39,000","21.7%","28,072","21.6%","63,465","17.9%","60,547","23.9%","(X)","18.6%","24,343","15.5%","28,343","20.8%","33,646","14.9%","31,973","17.5%","32,008","17.4%","44,297","16.9%","38,007","14.6%","32,225","19.5%","50,704"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","669","80,993","6,003","84,675","8,645","105,824","10,859","112,518","15,016","95,009","3,630","82,409","7,085","112,276","5,998","147,702","7,720","78,689","3,661","89,846","11,207","129,804","13,792","65,798","14,323","88,824","6,549","95,938","17","54,375","9,056","77,562","7,361","66,916","16,451","73,428","3,103","65,542","104","43,500","427","52,250","5,406","66,426","2,420","75,095","11,171","96,475","2,434","51,458","3,351","72,263","1,403","20,208","9,218","45,090","2,430","32,843","4,493","44,618","11,066","45,006","6,349","88,976","173","21,750","4,946","25,253","3,712","104,098","7,207","37,801","6,418","92,175","1,383","125,239","611","30,114","6,049","40,010","6,403","92,072","8,708","105,450","693","21,215","5,355","37,020","9,005","39,337","5,428","38,807","12,598","45,543","11,273","45,185","13,989","87,964","4,352","56,197","9,908","42,005","10,206","85,202"
"        With own children of householder under 18 years","15.8%","72,120","56.2%","79,279","53.6%","114,570","53.4%","119,784","54.5%","98,152","36.7%","97,675","68.0%","115,868","62.1%","170,611","44.3%","81,804","51.0%","102,517","58.1%","141,842","50.5%","61,635","44.9%","85,986","53.5%","85,955","52.9%","57,750","52.7%","69,432","47.8%","62,875","44.5%","77,225","38.4%","57,500","41.3%","(X)","22.2%","(X)","40.6%","64,340","35.5%","86,500","51.6%","99,291","38.4%","17,530","40.6%","82,405","56.8%","14,294","38.6%","33,403","42.8%","16,581","38.0%","26,627","39.6%","34,317","48.7%","89,960","41.0%","(X)","51.7%","17,151","40.0%","115,850","47.7%","28,402","36.9%","88,826","20.2%","(X)","74.3%","26,146","53.5%","30,388","40.0%","107,569","46.2%","107,284","38.5%","19,750","46.3%","28,348","46.2%","28,936","48.2%","26,642","52.2%","33,271","49.6%","35,533","47.3%","85,704","52.9%","47,332","54.6%","35,374","44.0%","78,238"
"        With no own children of householder under 18 years","84.2%","82,944","43.8%","88,125","46.4%","103,265","46.6%","108,750","45.5%","91,579","63.3%","80,117","32.0%","105,513","37.9%","118,641","55.7%","76,551","49.0%","76,808","41.9%","115,305","49.5%","69,339","55.1%","92,862","46.5%","104,203","47.1%","53,750","47.3%","82,710","52.2%","73,142","55.5%","71,928","61.6%","72,431","58.7%","(X)","77.8%","(X)","59.4%","66,911","64.5%","71,429","48.4%","88,177","61.6%","65,521","59.4%","65,236","43.2%","31,204","61.4%","52,321","57.2%","46,808","62.0%","64,160","60.4%","50,567","51.3%","88,232","59.0%","(X)","48.3%","37,113","60.0%","90,688","52.3%","50,378","63.1%","94,175","79.8%","(X)","25.7%","43,750","46.5%","48,866","60.0%","87,512","53.8%","103,578","61.5%","21,895","53.7%","43,236","53.8%","50,993","51.8%","49,517","47.8%","57,304","50.4%","55,057","52.7%","90,060","47.1%","64,728","45.4%","52,788","56.0%","92,298"
"        Married-couple families","88.5%","(X)","76.7%","(X)","88.2%","(X)","85.3%","(X)","80.1%","109,416","90.2%","(X)","82.6%","(X)","89.8%","152,500","79.7%","85,668","86.4%","(X)","87.9%","140,041","64.8%","79,180","78.2%","99,473","76.8%","114,254","35.3%","57,500","75.9%","83,248","74.2%","79,313","76.3%","86,495","78.8%","73,464","66.3%","(X)","83.4%","64,125","73.2%","78,516","75.7%","(X)","83.7%","(X)","57.3%","77,131","79.1%","81,198","32.6%","(X)","60.1%","57,427","31.8%","50,469","50.3%","78,000","57.7%","55,532","68.9%","118,242","86.7%","(X)","28.9%","43,235","83.4%","(X)","54.7%","51,293","78.2%","105,019","78.5%","(X)","38.5%","(X)","45.8%","51,199","84.0%","(X)","80.8%","117,727","40.0%","(X)","53.8%","52,956","49.9%","56,985","45.5%","56,031","59.8%","63,867","56.8%","62,267","76.2%","102,500","59.2%","69,684","48.1%","58,238","78.8%","101,016"
